                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                0.08049,                0.75055,                0.85923,                0.49938,                      1,                0.54625,                0.54625,                 0.0717,                0.73457,                0.36658,              0.0010151,              0.0010151,              0.0010151
                     81,                0.09221,                0.75514,                0.87313,                 0.4996,                      1,                0.54423,                0.54263,                0.07994,                0.74002,                0.36449,              0.0010069,              0.0010069,              0.0010069
                     82,                0.07705,                0.74843,                0.86463,                0.49993,                  0.999,                0.55281,                0.55281,                0.09573,                0.74087,                0.37088,             0.00099862,             0.00099862,             0.00099862
                     83,                0.07609,                0.74808,                0.85861,                 0.4996,                      1,                0.53028,                0.53025,                0.09324,                0.80264,                 0.3803,             0.00099036,             0.00099036,             0.00099036
                     84,                0.08082,                  0.751,                0.86261,                0.49986,                      1,                0.52244,                0.52244,                0.06266,                0.72451,                 0.3536,             0.00098211,             0.00098211,             0.00098211
                     85,                0.09658,                0.76981,                0.88182,                 0.4984,                      1,                 0.5438,                0.54242,                0.08097,                0.73347,                 0.3665,             0.00097386,             0.00097386,             0.00097386
                     86,                 0.0829,                0.75806,                0.86613,                0.49965,                      1,                0.51873,                0.51867,                0.07035,                0.77345,                0.36202,             0.00096561,             0.00096561,             0.00096561
                     87,                0.07917,                0.74939,                0.86351,                0.49975,                      1,                0.53662,                0.53662,                0.07059,                0.73115,                0.36242,             0.00095736,             0.00095736,             0.00095736
                     88,                0.07962,                0.74936,                0.86149,                0.49981,                      1,                0.52357,                0.52357,                0.10064,                0.75364,                0.38392,             0.00094911,             0.00094911,             0.00094911
                     89,                 0.0748,                0.74616,                0.85494,                0.49872,                      1,                0.53868,                0.53743,                0.10643,                0.76692,                0.39296,             0.00094085,             0.00094085,             0.00094085
                     90,                0.07265,                 0.7468,                0.86271,                0.49953,                      1,                0.52908,                 0.5282,                0.10442,                0.75701,                0.39009,              0.0009326,              0.0009326,              0.0009326
                     91,                0.07228,                0.74828,                0.85804,                0.49936,                      1,                0.54685,                0.54569,                0.14641,                0.77681,                0.42439,             0.00092435,             0.00092435,             0.00092435
                     92,                0.07464,                0.75163,                0.85911,                0.49773,                      1,                0.53504,                0.53369,                0.12067,                0.77318,                0.40208,              0.0009161,              0.0009161,              0.0009161
                     93,                0.07556,                 0.7476,                0.85461,                0.49971,                      1,                0.52857,                0.52813,                0.10845,                0.76507,                0.38618,             0.00090785,             0.00090785,             0.00090785
                     94,                0.07119,                0.74801,                0.85954,                0.49912,                      1,                 0.5467,                0.54537,                0.06337,                0.72832,                0.35944,              0.0008996,              0.0008996,              0.0008996
                     95,                 0.0729,                0.74788,                0.85599,                0.49966,                      1,                0.53045,                0.53045,                0.09235,                 0.7624,                 0.3762,             0.00089134,             0.00089134,             0.00089134
                     96,                0.07226,                0.74852,                0.85812,                0.49909,                      1,                0.53111,                 0.5311,                0.06748,                0.74698,                0.36037,             0.00088309,             0.00088309,             0.00088309
                     97,                0.07388,                0.74784,                0.85741,                0.49984,                      1,                0.52904,                0.52902,                0.06151,                0.76832,                0.36053,             0.00087484,             0.00087484,             0.00087484
                     98,                0.07591,                 0.7505,                 0.8654,                0.49873,                      1,                0.53343,                0.53321,                0.08424,                0.78025,                0.37781,             0.00086659,             0.00086659,             0.00086659
                     99,                0.06937,                0.74521,                0.85711,                0.49867,                      1,                0.53411,                0.53358,                0.12467,                0.76852,                0.40659,             0.00085834,             0.00085834,             0.00085834
                    100,                0.07195,                0.74816,                0.86212,                0.49951,                      1,                0.54854,                0.54629,                0.08286,                0.72872,                0.36783,             0.00085009,             0.00085009,             0.00085009
                    101,                0.07182,                0.74611,                0.85955,                0.49967,                      1,                0.53918,                0.53918,                0.06559,                0.72209,                0.35701,             0.00084184,             0.00084184,             0.00084184
                    102,                0.06934,                0.74491,                0.85607,                0.49865,                      1,                 0.5204,                0.51881,                0.07383,                0.75058,                0.36441,             0.00083358,             0.00083358,             0.00083358
                    103,                0.07763,                0.74423,                0.86399,                 0.4985,                      1,                0.53244,                0.53242,                0.07135,                 0.7401,                 0.3615,             0.00082533,             0.00082533,             0.00082533
                    104,                0.07307,                0.74828,                0.86131,                0.49831,                      1,                0.51498,                0.51498,                0.10134,                0.76229,                0.38527,             0.00081708,             0.00081708,             0.00081708
