                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                0.10603,                0.75921,                0.87034,                0.48938,                0.99537,                0.52535,                0.51709,                0.10611,                0.78941,                0.83015,              0.0012874,              0.0012874,              0.0012874
                     48,                 0.1081,                 0.7588,                0.87534,                0.49919,                0.99903,                0.54064,                0.54048,                0.08662,                0.79061,                0.80706,              0.0012792,              0.0012792,              0.0012792
                     49,                0.10102,                0.75634,                0.87043,                0.48998,                0.98806,                0.52566,                0.51859,                0.13907,                0.86811,                0.93439,              0.0012709,              0.0012709,              0.0012709
                     50,                0.09901,                0.75644,                0.87605,                0.48727,                0.99879,                0.53194,                 0.5269,                0.07863,                0.77662,                0.83879,              0.0012627,              0.0012627,              0.0012627
                     51,                0.09465,                0.75611,                0.86709,                0.48994,                0.98958,                0.54519,                0.54072,                 0.0983,                0.82771,                0.87432,              0.0012544,              0.0012544,              0.0012544
                     52,                0.10962,                0.76434,                0.88801,                 0.4952,                0.99769,                0.53124,                0.53071,                0.07422,                0.74978,                0.87437,              0.0012462,              0.0012462,              0.0012462
                     53,                0.10425,                 0.7622,                0.87763,                0.49834,                0.99812,                0.54015,                0.53996,                0.07337,                 0.7352,                0.81943,              0.0012379,              0.0012379,              0.0012379
                     54,                0.09854,                0.75659,                0.85996,                0.49579,                0.99769,                0.52007,                0.51946,                0.09094,                  0.762,                0.70087,              0.0012297,              0.0012297,              0.0012297
                     55,                0.09774,                0.75691,                0.86557,                 0.4979,                0.99769,                0.54512,                0.54083,                0.10684,                0.76226,                0.59885,              0.0012214,              0.0012214,              0.0012214
                     56,                0.10261,                0.76182,                0.86658,                0.49599,                      1,                  0.522,                0.51514,                0.09805,                0.77374,                0.75975,              0.0012132,              0.0012132,              0.0012132
                     57,                0.09529,                0.76099,                0.86835,                0.49973,                      1,                0.52644,                0.52631,                0.08267,                0.74337,                0.76027,              0.0012049,              0.0012049,              0.0012049
                     58,                0.08923,                0.75569,                 0.8627,                0.48296,                0.99537,                0.53125,                0.52962,                0.11158,                0.78966,                0.85833,              0.0011967,              0.0011967,              0.0011967
                     59,                0.09711,                0.75524,                0.87047,                0.49478,                      1,                0.52893,                0.52764,                0.07556,                0.73652,                0.86052,              0.0011884,              0.0011884,              0.0011884
                     60,                0.09451,                0.75014,                0.86612,                0.49858,                0.99921,                0.52355,                0.52355,                0.08233,                0.76239,                0.76235,              0.0011802,              0.0011802,              0.0011802
                     61,                0.08618,                0.75283,                0.86035,                0.49857,                      1,                0.52041,                0.51876,                0.08891,                0.76057,                0.64005,              0.0011719,              0.0011719,              0.0011719
                     62,                0.09691,                0.75429,                0.86798,                0.49391,                      1,                0.52523,                0.52437,                0.07035,                0.78216,                0.70882,              0.0011636,              0.0011636,              0.0011636
                     63,                0.09004,                0.75154,                0.86326,                0.48691,                0.99868,                0.52005,                0.51726,                0.09219,                 0.7701,                0.74195,              0.0011554,              0.0011554,              0.0011554
                     64,                0.08889,                0.75323,                 0.8654,                0.49806,                0.97203,                0.54122,                0.53942,                 0.1034,                0.76842,                0.59364,              0.0011471,              0.0011471,              0.0011471
                     65,                0.09298,                0.75476,                0.86934,                 0.4979,                0.99376,                0.52088,                0.52066,                0.10327,                  0.777,                0.47435,              0.0011389,              0.0011389,              0.0011389
                     66,                0.08872,                0.75471,                0.85989,                0.49611,                      1,                 0.5274,                0.52712,                0.08918,                 0.7332,                0.61355,              0.0011306,              0.0011306,              0.0011306
                     67,                0.08542,                0.75095,                0.86569,                0.49497,                      1,                0.53404,                0.51907,                0.08888,                0.76443,                0.61479,              0.0011224,              0.0011224,              0.0011224
                     68,                0.08391,                0.74963,                 0.8643,                0.49363,                      1,                0.52304,                0.52284,                0.07006,                0.75289,                0.72177,              0.0011141,              0.0011141,              0.0011141
                     69,                0.08162,                0.74467,                 0.8628,                0.49744,                      1,                0.53013,                0.53013,                0.06104,                0.75484,                0.77168,              0.0011059,              0.0011059,              0.0011059
                     70,                0.08265,                  0.756,                0.86455,                0.49376,                      1,                0.52454,                0.52339,                0.07375,                 0.7571,                0.69169,              0.0010976,              0.0010976,              0.0010976
                     71,                0.08484,                0.74432,                0.86763,                0.48761,                      1,                0.53577,                0.53577,                0.07915,                0.84838,                0.76537,              0.0010894,              0.0010894,              0.0010894
                     72,                0.08474,                0.74534,                0.86459,                0.49927,                      1,                0.53686,                0.53686,                0.07887,                  0.749,                 0.7976,              0.0010811,              0.0010811,              0.0010811
                     73,                0.08873,                0.74844,                0.86604,                0.48485,                      1,                0.53366,                0.53358,                0.09258,                0.77038,                0.77535,              0.0010729,              0.0010729,              0.0010729
                     74,                0.08507,                0.75186,                0.86314,                0.49924,                      1,                0.53896,                0.53815,                 0.0644,                0.72458,                0.76317,              0.0010646,              0.0010646,              0.0010646
                     75,                0.08845,                0.74795,                0.86563,                0.37972,                0.99032,                0.50732,                 0.4853,                0.07455,                0.92816,                 0.7565,              0.0010564,              0.0010564,              0.0010564
                     76,                0.10719,                0.76413,                0.90221,                0.49676,                      1,                0.54038,                0.54038,                0.06279,                 0.7263,                0.76688,              0.0010481,              0.0010481,              0.0010481
