                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                   0.09,                0.75937,                0.86949,                0.49858,                      1,                0.52736,                0.52594,                0.18451,                0.78399,                0.52748,              0.0012709,              0.0012709,              0.0012709
                     50,                0.09071,                0.75744,                0.87421,                0.49916,                0.99769,                0.53543,                0.53531,                0.15068,                0.77028,                0.49237,              0.0012627,              0.0012627,              0.0012627
                     51,                0.08567,                 0.7582,                0.86306,                0.49517,                0.99769,                0.53023,                0.52675,                0.11746,                0.76591,                0.45646,              0.0012544,              0.0012544,              0.0012544
                     52,                0.09384,                0.77116,                0.87209,                 0.4977,                      1,                0.54603,                  0.546,                0.13691,                0.76083,                0.48261,              0.0012462,              0.0012462,              0.0012462
                     53,                0.08447,                0.76273,                0.86612,                0.49987,                0.99968,                0.54061,                 0.5406,                 0.1216,                0.75655,                0.47048,              0.0012379,              0.0012379,              0.0012379
                     54,                0.08644,                0.75644,                0.85796,                 0.4975,                0.99769,                0.52905,                0.52862,                0.12123,                0.75542,                0.46909,              0.0012297,              0.0012297,              0.0012297
                     55,                0.08481,                0.75949,                0.86362,                0.49982,                      1,                0.52286,                0.52285,                0.11471,                0.75475,                0.46589,              0.0012214,              0.0012214,              0.0012214
                     56,                0.07867,                0.75619,                0.86222,                0.49929,                      1,                0.52109,                0.52109,                0.13163,                0.78071,                0.47155,              0.0012132,              0.0012132,              0.0012132
                     57,                0.08428,                0.75646,                0.86692,                 0.4997,                      1,                0.55009,                0.55007,                0.15591,                0.75881,                 0.5005,              0.0012049,              0.0012049,              0.0012049
                     58,                0.08295,                0.75586,                0.86315,                0.49857,                      1,                0.53709,                0.53709,                0.12609,                0.75972,                0.47415,              0.0011967,              0.0011967,              0.0011967
                     59,                 0.0847,                 0.7538,                0.86946,                 0.4993,                      1,                0.54207,                0.54207,                0.12637,                0.76081,                0.47302,              0.0011884,              0.0011884,              0.0011884
                     60,                0.07547,                 0.7491,                0.86327,                0.49945,                      1,                0.53454,                0.53369,                0.13953,                0.75555,                0.49206,              0.0011802,              0.0011802,              0.0011802
                     61,                0.07279,                0.75056,                0.86084,                0.49928,                      1,                0.53913,                0.53737,                0.12247,                  0.755,                0.47478,              0.0011719,              0.0011719,              0.0011719
                     62,                0.08507,                0.75171,                 0.8672,                0.49706,                      1,                0.53886,                0.53652,                0.12161,                0.74883,                0.46043,              0.0011636,              0.0011636,              0.0011636
                     63,                0.08294,                0.75587,                0.86342,                0.49784,                0.99769,                0.54162,                0.54101,                0.12269,                0.76648,                0.46007,              0.0011554,              0.0011554,              0.0011554
                     64,                0.07827,                  0.751,                0.86281,                0.49913,                      1,                 0.5255,                0.52453,                0.14537,                0.77891,                0.47646,              0.0011471,              0.0011471,              0.0011471
                     65,                0.07484,                0.75373,                 0.8661,                0.49584,                0.99222,                 0.5206,                0.52059,                0.10656,                 0.7777,                0.43948,              0.0011389,              0.0011389,              0.0011389
                     66,                0.07724,                0.75631,                0.86026,                0.49911,                      1,                0.53013,                0.52879,                0.12015,                0.76916,                0.45573,              0.0011306,              0.0011306,              0.0011306
                     67,                0.07641,                0.75627,                0.86563,                0.49866,                0.99923,                0.53278,                0.53276,                0.14535,                0.77598,                0.49549,              0.0011224,              0.0011224,              0.0011224
                     68,                 0.0778,                 0.7544,                0.86567,                0.49856,                      1,                0.52457,                0.52453,                0.09964,                0.78338,                0.43695,              0.0011141,              0.0011141,              0.0011141
                     69,                    inf,                0.75011,                0.86128,                0.49845,                      1,                0.54694,                0.54693,                0.13318,                0.77141,                0.48528,              0.0011059,              0.0011059,              0.0011059
                     70,                0.07958,                0.75362,                0.86679,                0.49971,                      1,                0.52907,                0.52906,                0.10986,                0.77786,                0.43904,              0.0010976,              0.0010976,              0.0010976
                     71,                0.07329,                0.75053,                0.86382,                0.49146,                      1,                0.54246,                0.54246,                0.09118,                0.77316,                0.43185,              0.0010894,              0.0010894,              0.0010894
                     72,                0.07049,                0.75255,                0.86298,                0.49816,                0.99769,                0.52326,                0.52318,                0.13144,                0.78046,                0.47788,              0.0010811,              0.0010811,              0.0010811
                     73,                 0.0745,                0.75187,                0.86572,                0.49806,                      1,                0.52858,                0.52834,                0.13433,                0.76516,                0.47443,              0.0010729,              0.0010729,              0.0010729
                     74,                0.07118,                0.75583,                0.86063,                0.48293,                0.99769,                0.53633,                0.53619,                0.11793,                0.78178,                 0.4512,              0.0010646,              0.0010646,              0.0010646
                     75,                0.07485,                 0.7533,                0.86302,                0.49901,                      1,                0.51721,                0.51615,                0.10709,                0.76116,                0.45054,              0.0010564,              0.0010564,              0.0010564
                     76,                0.10923,                0.78834,                0.90236,                0.49845,                      1,                0.53325,                0.53288,                0.11607,                0.74439,                0.44773,              0.0010481,              0.0010481,              0.0010481
                     77,                0.07622,                0.75776,                0.85913,                0.49647,                0.99769,                0.52633,                0.52608,                0.12158,                 0.7646,                0.46462,              0.0010399,              0.0010399,              0.0010399
                     78,                  0.073,                 0.7513,                0.86425,                0.49975,                      1,                0.54386,                0.54386,                0.10574,                0.75156,                0.44856,              0.0010316,              0.0010316,              0.0010316
                     79,                0.06997,                0.74653,                0.86698,                0.49961,                      1,                0.53777,                0.53669,                0.10753,                0.74003,                0.44785,              0.0010234,              0.0010234,              0.0010234
                     80,                0.06823,                0.74972,                0.85842,                0.49945,                0.99769,                0.54479,                0.54479,                0.10648,                0.74265,                0.44837,              0.0010151,              0.0010151,              0.0010151
                     81,                0.07662,                0.77282,                0.86907,                0.49921,                 0.9991,                0.52541,                0.52541,                0.10538,                  0.745,                0.44632,              0.0010069,              0.0010069,              0.0010069
                     82,                0.06642,                 0.7465,                0.85479,                0.49881,                      1,                0.53687,                0.53676,                0.10652,                0.75863,                0.45336,             0.00099862,             0.00099862,             0.00099862
                     83,                0.06793,                0.74665,                0.86334,                0.49813,                      1,                0.54212,                0.54212,                0.10484,                0.75266,                0.45397,             0.00099036,             0.00099036,             0.00099036
                     84,                0.06687,                0.75111,                0.86515,                0.49927,                      1,                0.52878,                 0.5264,                0.09549,                0.73494,                 0.4347,             0.00098211,             0.00098211,             0.00098211
                     85,                0.06504,                0.74853,                0.86616,                0.43726,                      1,                 0.5191,                 0.4827,                0.13147,                0.83296,                0.47533,             0.00097386,             0.00097386,             0.00097386
                     86,                0.07532,                0.74676,                0.87443,                0.49991,                      1,                 0.5322,                 0.5322,                0.10934,                 0.7423,                0.45782,             0.00096561,             0.00096561,             0.00096561
                     87,                0.06552,                0.74516,                0.86688,                0.49977,                      1,                  0.536,                  0.536,                0.09276,                0.75413,                0.43609,             0.00095736,             0.00095736,             0.00095736
                     88,                0.06489,                0.74797,                0.86643,                0.49886,                      1,                0.52767,                0.52308,                0.10075,                0.76502,                 0.4478,             0.00094911,             0.00094911,             0.00094911
                     89,                0.06445,                0.74513,                0.86314,                0.49978,                      1,                0.53799,                0.53798,                0.10936,                 0.7396,                0.45316,             0.00094085,             0.00094085,             0.00094085
                     90,                0.06607,                0.74636,                0.86374,                0.49955,                      1,                0.54859,                0.54859,                0.08372,                0.74463,                0.43286,              0.0009326,              0.0009326,              0.0009326
                     91,                0.06353,                0.74309,                0.85974,                0.49948,                      1,                0.53216,                0.53129,                0.09937,                0.75132,                0.44553,             0.00092435,             0.00092435,             0.00092435
                     92,                0.07461,                0.75542,                0.87464,                0.49978,                      1,                0.53169,                0.53147,                0.10953,                0.75949,                0.44876,              0.0009161,              0.0009161,              0.0009161
                     93,                0.06708,                0.74366,                0.86062,                0.49943,                0.99769,                0.54352,                0.54352,                0.09455,                0.73645,                0.42958,             0.00090785,             0.00090785,             0.00090785
                     94,                0.06013,                0.74239,                0.85816,                 0.4997,                      1,                0.55286,                0.55285,                 0.0832,                0.73742,                0.43089,              0.0008996,              0.0008996,              0.0008996
